,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover
0,2018-03-06,197.1,197.5,192.1,193.3,193.15,5357824.0,10482.55
1,2018-03-07,192.75,194.0,191.25,193.75,193.35,5333068.0,10264.34
2,2018-03-08,193.85,195.9,192.4,195.2,195.4,5866779.0,11427.2
3,2018-03-09,195.5,195.65,191.8,192.35,192.9,5561479.0,10833.08
4,2018-03-12,193.5,195.65,193.0,195.05,195.0,8011688.0,15598.72
5,2018-03-13,194.9,197.0,193.25,194.65,195.05,5951992.0,11652.29
6,2018-03-14,194.65,196.2,193.5,194.2,194.35,4824847.0,9400.4
7,2018-03-15,193.95,195.75,193.8,194.3,194.8,3449728.0,6726.96
8,2018-03-16,194.4,197.15,191.35,192.35,192.25,5835262.0,11313.66
9,2018-03-19,193.4,195.1,192.5,194.4,194.2,7591581.0,14763.04
